schedule	version_from	version_to	URL_en
1	20030101	20050331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20030101.html
1	20050401	20050403	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20050401.html
1	20050404	20051004	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20050404.html
1	20051005	20130228	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20051005.html
1	20130301	20130625	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20130301.html
1	20130626	20131211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20130626.html
1	20131212	20181212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20131212.html
1	20181213	20190714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20181213.html
1	20190715	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230471-20190715.html
1	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-30.html#h-230472
1.1	20030101	20030413	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20030101.html#wb-cont
1.1	20030414	20030629	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20030414.html#wb-cont
1.1	20030630	20030701	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20030630.html#wb-cont
1.1	20030702	20031119	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20030702.html#wb-cont
1.1	20031120	20031211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20031120.html#wb-cont
1.1	20031212	20040331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20031212.html#wb-cont
1.1	20040401	20040520	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20040401.html#wb-cont
1.1	20040521	20040719	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20040521.html#wb-cont
1.1	20040720	20040923	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20040720.html#wb-cont
1.1	20040924	20041018	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20040924.html#wb-cont
1.1	20041019	20050331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20041019.html#wb-cont
1.1	20050401	20050403	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20050401.html#wb-cont	
1.1	20050404	20051004	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20050404.html#wb-cont
1.1	20051005	20051211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20051005.html#wb-cont
1.1	20051212	20060205	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20051212.html#wb-cont
1.1	20060206	20060207	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060206.html#wb-cont
1.1	20060208	20060302	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060208.html#wb-cont
1.1	20060303	20060420	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060303.html#wb-cont
1.1	20060421	20060516	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060421.html#wb-cont
1.1	20060517	20060518	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060517.html#wb-cont
1.1	20060519	20061211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20060519.html#wb-cont
1.1	20061212	20070414	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20061212.html#wb-cont
1.1	20070415	20080531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20070415.html#wb-cont
1.1	20080601	20080701	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20080601.html#wb-cont
1.1	20080702	20081015	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20080702.html#wb-cont
1.1	20081016	20090301	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20081016.html#wb-cont
1.1	20090302	20090630	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20090302.html#wb-cont
1.1	20090701	20090812	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20090701.html#wb-cont
1.1	20090813	20090817	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20090813.html#wb-cont
1.1	20090818	20090922	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20090818.html#wb-cont
1.1	20090923	20100826	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20090923.html#wb-cont
1.1	20100827	20110517	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20100827.html#wb-cont
1.1	20110518	20110803	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20110518.html#wb-cont
1.1	20110804	20111115	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20110804.html#wb-cont
1.1	20111116	20120628	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20111116.html#wb-cont
1.1	20120629	20130227	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20120629.html#wb-cont
1.1	20130228	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20130228.html#wb-cont
1.1	20130401	20130618	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20130401.html#wb-cont
1.1	20130619	20130625	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20130619.html#wb-cont
1.1	20130626	20130714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20130626.html#wb-cont
1.1	20130715	20141031	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20130715.html#wb-cont
1.1	20141101	20141127	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20141101.html#wb-cont
1.1	20141128	20150225	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20141128.html#wb-cont
1.1	20150226	20151103	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20150226.html#wb-cont
1.1	20151104	20151231	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20151104.html#wb-cont
1.1	20160101	20160704	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20160101.html#wb-cont
1.1	20160705	20171005	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20160705.html#wb-cont
1.1	20171006	20171129	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20171006.html#wb-cont
1.1	20171130	20180620	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20171130.html#wb-cont
1.1	20180621	20180723	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180621.html#wb-cont
1.1	20180724	20180926	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180724.html#wb-cont
1.1	20180927	20181120	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180927.html#wb-cont
1.1	20181121	20181212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20181121.html#wb-cont
1.1	20181213	20190711	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20181213.html#wb-cont
1.1	20190712	20190714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190712.html#wb-cont
1.1	20190715	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190715.html#wb-cont
1.1	20190828	20191119	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190828.html#wb-cont
1.1	20191120	20191203	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20191120.html#wb-cont
1.1	20191204	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20191204.html#wb-cont
1.1	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-31.html#h-230498
2	20030101	20040331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20030101.html
2	20040401	20051002	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20040401.html
2	20051003	20051211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20051003.html
2	20051212	20060111	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20051212.html
2	20060112	20120929	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20060112.html
2	20120930	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20120930.html
2	20130401	20150531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20130401.html
2	20150601	20180311	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20150601.html
2	20180312	20190710	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20180312.html
2	20190711	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20190711.html
2	20190828	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20190828.html#wb-cont
2	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-32.html#h-230507
